Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2021-10-16 13:58:00,"Midday Workout",50m,"Overhead Press (Barbell)",1,95.0,0,0,0,"",,
2021-10-16 13:58:00,"Midday Workout",50m,"Overhead Press (Barbell)",2,85.0,6,0,0,,,
2021-10-16 13:58:00,"Midday Workout",50m,"Overhead Press (Barbell)",3,85.0,3,0,0,,,
2021-10-16 13:58:00,"Midday Workout",50m,"Overhead Press (Barbell)",4,74.99999999999999,6,0,0,,,
2021-10-16 13:58:00,"Midday Workout",50m,"Overhead Press (Barbell)",5,74.99999999999999,5,0,0,,,
2021-10-16 13:58:00,"Midday Workout",50m,"Crunch",1,20.0,12,0,0,"",,
2021-10-16 13:58:00,"Midday Workout",50m,"Crunch",2,20.0,12,0,0,,,
2021-10-16 13:58:00,"Midday Workout",50m,"Crunch",3,20.0,12,0,0,,,
2021-10-16 13:58:00,"Midday Workout",50m,"Crunch",4,20.0,12,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Overhead Press (Barbell)",1,85.0,6,0,0,"","",
2021-10-18 18:12:21,"Squat Day",1h 18m,"Overhead Press (Barbell)",2,95.0,6,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Overhead Press (Barbell)",3,95.0,5,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Overhead Press (Barbell)",4,85.0,4,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Overhead Press (Barbell)",5,74.99999999999999,4,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Front Squat (Barbell)",1,145.0,6,0,0,"",,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Front Squat (Barbell)",2,155.0,6,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Front Squat (Barbell)",3,165.0,6,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Front Squat (Barbell)",4,165.0,4,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Front Squat (Barbell)",5,155.0,4,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Bench Press (Barbell)",1,135.0,6,0,0,"",,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Bench Press (Barbell)",2,145.0,6,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Bench Press (Barbell)",3,155.0,6,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Bench Press (Barbell)",4,145.0,3,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Bench Press (Barbell)",5,135.0,4,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Bent Over Row (Barbell)",1,135.0,6,0,0,"",,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Bent Over Row (Barbell)",2,135.0,6,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Bent Over Row (Barbell)",3,145.0,6,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Bent Over Row (Barbell)",4,145.0,6,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Bent Over Row (Barbell)",5,155.0,6,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Bent Over Row (Barbell)",6,165.0,5,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Crunch",1,20.0,12,0,0,"",,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Crunch",2,20.0,12,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Crunch",3,20.0,12,0,0,,,
2021-10-18 18:12:21,"Squat Day",1h 18m,"Crunch",4,20.0,12,0,0,,,
2021-10-19 19:16:25,"Climbing",1h 26m,"Rock Climbing",1,0,0,0,60,"","",
2021-10-21 18:55:37,"Deadlift Day",1h 38m,"Overhead Press (Barbell)",1,85.0,6,0,0,"","",
2021-10-21 18:55:37,"Deadlift Day",1h 38m,"Overhead Press (Barbell)",2,95.0,6,0,0,,,
2021-10-21 18:55:37,"Deadlift Day",1h 38m,"Overhead Press (Barbell)",3,95.0,4,0,0,,,
2021-10-21 18:55:37,"Deadlift Day",1h 38m,"Overhead Press (Barbell)",4,85.0,6,0,0,,,
2021-10-21 18:55:37,"Deadlift Day",1h 38m,"Overhead Press (Barbell)",5,85.0,6,0,0,,,
2021-10-21 18:55:37,"Deadlift Day",1h 38m,"Bench Press (Barbell)",1,135.0,6,0,0,"",,
2021-10-21 18:55:37,"Deadlift Day",1h 38m,"Bench Press (Barbell)",2,145.0,6,0,0,,,
2021-10-21 18:55:37,"Deadlift Day",1h 38m,"Bench Press (Barbell)",3,145.0,6,0,0,,,
2021-10-21 18:55:37,"Deadlift Day",1h 38m,"Bench Press (Barbell)",4,135.0,6,0,0,,,
2021-10-21 18:55:37,"Deadlift Day",1h 38m,"Bench Press (Barbell)",5,135.0,6,0,0,,,
2021-10-21 18:55:37,"Deadlift Day",1h 38m,"Deadlift (Barbell)",1,175.0,6,0,0,"",,
2021-10-21 18:55:37,"Deadlift Day",1h 38m,"Deadlift (Barbell)",2,185.00000000000003,6,0,0,,,
2021-10-21 18:55:37,"Deadlift Day",1h 38m,"Deadlift (Barbell)",3,195.0,6,0,0,,,
2021-10-21 18:55:37,"Deadlift Day",1h 38m,"Deadlift (Barbell)",4,205.0,6,0,0,,,
2021-10-21 18:55:37,"Deadlift Day",1h 38m,"Deadlift (Barbell)",5,195.0,6,0,0,,,
2021-10-21 18:55:37,"Deadlift Day",1h 38m,"Crunch",1,20.0,12,0,0,"",,
2021-10-21 18:55:37,"Deadlift Day",1h 38m,"Crunch",2,20.0,12,0,0,,,
